id,code,name,group_id/id,user_type_id/id,chart_template_id:id,reconcile
111001_account_Muhlhel,111001,Agricultural Lands,111_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
111002_account_Muhlhel,111002,Buildings,111_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
112001_account_Muhlhel,112001,Cars,112_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
112002_account_Muhlhel,112002,Trucks,112_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
113001_account_Muhlhel,113001,Furnitures,113_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
113002_account_Muhlhel,113002,Special Equipments,113_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
113003_account_Muhlhel,113003,Electrical and Electronic Devices,113_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
113004_account_Muhlhel,113004,Hardware and Software,113_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114001_account_Muhlhel,114001,Accum Buildings,114_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114002_account_Muhlhel,114002,Accum Cars,114_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114003_account_Muhlhel,114003,Accum Furniture,114_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114004_account_Muhlhel,114004,Accum Machines and equipments,114_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114005_account_Muhlhel,114005,Accum Electrical and electronic devices,114_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
114006_account_Muhlhel,114006,Accum Computer and software,114_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
115001_account_Muhlhel,115001,Famous brand,115_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
115002_account_Muhlhel,115002,Patents,115_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
115003_account_Muhlhel,115003,Trademarks,115_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
115004_account_Muhlhel,115004,Software and System,115_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
116001_account_Muhlhel,116001,Organization Expense,116_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
116002_account_Muhlhel,116002,Advertising and Promotion,116_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
117001_account_Muhlhel,117001,Deferred Income Tax ,117_account_Muhlhel,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
